food, 1950, 1, 1
food, 1970, 4, 0
food, 1980, 2, 3
food, 1983, 2, 0
food, 1987, 2, 0
food, 1988, 2, 0
food, 1989, 1, 0
food, 1990, 21, 7
food, 1991, 4, 1
food, 1992, 2, 0
food, 1993, 3, 0
food, 1994, 3, 2
food, 1995, 16, 1
food, 1996, 7, 2
food, 1997, 12, 0
food, 1998, 6, 2
food, 1999, 3, 0
food, 2000, 3, 3
food, 2001, 2, 0
food, 2002, 7, 0
food, 2003, 1, 0
food, 2004, 2, 0
food, 2005, 3, 1
food, 2006, 4, 0
food, 2007, 1, 0
food, 2008, 6, 0
food, 2009, 8, 2
food, 2010, 7, 0
food, 2011, 4, 1
food, 2012, 8, 0
food, 2013, 13, 1
food, 2014, 2, 0
history, 1943, 3, 0
history, 1945, 17, 1
history, 1946, 15, 0
history, 1947, 1, 0
history, 1948, 3, 0
history, 1949, 7, 2
history, 1950, 24, 9
history, 1951, 1, 0
history, 1952, 1, 0
history, 1953, 8, 4
history, 1954, 6, 0
history, 1956, 3, 0
history, 1957, 8, 0
history, 1958, 2, 2
history, 1959, 3, 1
history, 1960, 1, 4
history, 1964, 2, 1
history, 1966, 3, 1
history, 1967, 1, 0
history, 1968, 5, 0
history, 1969, 2, 0
history, 1970, 5, 3
history, 1972, 4, 0
history, 1974, 2, 2
history, 1975, 1, 0
history, 1976, 2, 0
history, 1980, 3, 1
history, 1983, 2, 0
history, 1986, 1, 0
history, 1987, 2, 0
history, 1989, 1, 0
history, 1990, 7, 2
history, 1992, 5, 0
history, 1993, 5, 0
history, 1994, 7, 0
history, 1995, 5, 1
history, 1996, 1, 0
history, 1997, 1, 4
history, 1998, 4, 1
history, 1999, 1, 0
history, 2000, 5, 0
history, 2001, 2, 0
history, 2002, 10, 2
history, 2003, 2, 0
history, 2005, 2, 0
history, 2006, 5, 1
history, 2007, 4, 1
history, 2008, 1, 0
history, 2009, 3, 3
history, 2010, 5, 0
history, 2011, 10, 0
history, 2012, 13, 0
history, 2013, 18, 9
political, 1950, 4, 1
political, 1960, 8, 1
political, 1969, 2, 0
political, 1970, 11, 4
political, 1975, 4, 0
political, 1977, 2, 0
political, 1979, 8, 0
political, 1980, 12, 1
political, 1981, 8, 0
political, 1982, 2, 0
political, 1987, 1, 0
political, 1989, 1, 0
political, 1990, 27, 1
political, 1992, 2, 0
political, 1993, 7, 0
political, 1996, 2, 0
political, 1997, 16, 2
political, 1998, 17, 1
political, 1999, 5, 0
political, 2000, 28, 1
political, 2001, 12, 0
political, 2003, 11, 3
political, 2004, 14, 5
political, 2005, 18, 0
political, 2006, 19, 2
political, 2007, 24, 4
political, 2008, 15, 2
political, 2009, 24, 6
political, 2010, 21, 3
political, 2011, 26, 4
political, 2012, 18, 0
political, 2013, 10, 2
political, 2014, 1, 0
